id,title,year,ratings,votes,length,genres,formatted_title,formatted_length
tt0131704,The Adventures of Rocky & Bullwinkle (2000),2000,4.1,10968,00 mins.,Animation|Adventure|Comedy|Family|Fantasy,The Adventures of Rocky & Bullwinkle,0
tt0313911,Agent Cody Banks (2003),2003,5.1,10959,102 mins.,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Agent Cody Banks,102
tt0337697,The Prince and Me (2004),2004,5.6,10950,111 mins.,Comedy|Romance,The Prince and Me,111
tt0098105,Police Academy 6: City Under Siege (1989),1989,3.3,10947,84 mins.,Comedy|Crime,Police Academy 6: City Under Siege,84
tt0101516,Bugsy (1991),1991,6.8,10934,136 mins.,Biography|Crime|Drama,Bugsy,136
tt0083946,Fitzcarraldo (1982),1982,8.0,10919,158 mins.,Adventure|Drama,Fitzcarraldo,158
tt0145653,Angela's Ashes (1999),1999,7.1,10903,145 mins.,Drama,Angela's Ashes,145
tt0093936,The Secret of My Succe$s (1987),1987,6.2,10887,111 mins.,Comedy,The Secret of My Succe$s,111
tt0473753,Angel-A (2005),2005,7.0,10879,91 mins.,Comedy|Fantasy|Romance,Angel-A,91
tt0091080,Jason Lives: Friday the 13th Part VI (1986),1986,5.3,10871,86 mins.,Comedy|Horror|Thriller,Jason Lives: Friday the 13th Part VI,86
tt0294357,Beyond Borders (2003),2003,6.2,10845,127 mins.,Adventure|Drama|Romance|War,Beyond Borders,127
tt0091828,Raw Deal (1986),1986,5.1,10841,106 mins.,Action|Crime|Thriller,Raw Deal,106
tt0395495,Catch and Release (2006),2006,5.8,10833,124 mins.,Comedy|Drama|Romance,Catch and Release,124
tt0490086,Big Stan (2007),2007,6.2,10831,105 mins.,Action|Comedy,Big Stan,105
tt0100519,Rosencrantz & Guildenstern Are Dead (1990),1990,7.5,10825,117 mins.,Comedy|Drama,Rosencrantz & Guildenstern Are Dead,117
tt0106770,Dragon: The Bruce Lee Story (1993),1993,6.8,10814,120 mins.,Action|Biography|Drama,Dragon: The Bruce Lee Story,120
tt0815244,Sydney White (2007),2007,6.2,10801,108 mins.,Comedy|Romance,Sydney White,108
tt0295427,The Master of Disguise (2002),2002,3.0,10788,80 mins.,Comedy|Family,The Master of Disguise,80
tt0078718,...And Justice for All. (1979),1979,7.2,10781,119 mins.,Drama|Thriller|Crime,...And Justice for All.,119
tt1341188,How Do You Know (2010),2010,5.3,10772,121 mins.,Comedy|Drama|Romance,How Do You Know,121
tt0101757,Don't Tell Mom the Babysitter's Dead (1991),1991,5.5,10763,102 mins.,Comedy,Don't Tell Mom the Babysitter's Dead,102
tt1032815,"I Love You, Beth Cooper (2009)",2009,5.2,10757,102 mins.,Comedy,"I Love You, Beth Cooper",102
tt0078480,Watership Down (1978),1978,7.7,10741,101 mins.,Animation|Adventure|Drama|Family,Watership Down,101
tt0085382,Cujo (1983),1983,5.8,10730,93 mins.,Horror|Thriller,Cujo,93
tt0067140,"Duck, You Sucker (1971)",1971,7.7,10716,157 mins.,War|Western,"Duck, You Sucker",157
tt0345061,Code 46 (2003),2003,6.3,10714,93 mins.,Drama|Romance|Sci-Fi|Thriller,Code 46,93
tt0166813,Spirit: Stallion of the Cimarron (2002),2002,6.7,10708,83 mins.,Animation|Adventure|Family|Romance|Western,Spirit: Stallion of the Cimarron,83
tt0054167,Peeping Tom (1960),1960,7.8,10702,101 mins.,Crime|Horror|Thriller,Peeping Tom,101
tt0205271,Dr T and the Women (2000),2000,4.7,10690,122 mins.,Comedy|Romance|Drama,Dr T and the Women,122
tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension (1984),1984,6.1,10681,103 mins.,Adventure|Romance|Comedy|Sci-Fi,The Adventures of Buckaroo Banzai Across the 8th Dimension,103
tt0099726,Hamlet (1990),1990,6.8,10672,130 mins.,Drama|Romance,Hamlet,130
tt0065063,Take the Money and Run (1969),1969,7.2,10659,85 mins.,Comedy|Crime,Take the Money and Run,85
tt0273517,Darkness (2002),2002,5.3,10653,102 mins.,Horror,Darkness,102
tt0831884,Reservation Road (2007),2007,6.7,10645,102 mins.,Crime|Drama|Thriller,Reservation Road,102
tt0106881,Fearless (1993),1993,7.1,10638,122 mins.,Drama,Fearless,122
tt0424205,Joyeux Noel (2005),2005,7.7,10608,116 mins.,Drama|Music|Romance|War,Joyeux Noel,116
tt0075066,The Pink Panther Strikes Again (1976),1976,7.1,10834,103 mins.,Comedy|Crime|Family|Sci-Fi,The Pink Panther Strikes Again,103
tt0318974,The Alamo (2004),2004,5.9,10833,137 mins.,Drama|History|War|Western,The Alamo,137
tt0114011,Now and Then (1995),1995,6.2,10828,100 mins.,Comedy|Drama|Romance,Now and Then,100
tt0762073,Thirst (2009),2009,7.2,10818,133 mins.,Comedy|Drama|Fantasy|Horror|Romance,Thirst,133
tt1160368,12 Rounds (2009),2009,5.4,10801,108 mins.,Action|Crime|Thriller,12 Rounds,108
tt0179116,But I'm a Cheerleader (1999),1999,6.2,10794,85 mins.,Comedy|Drama,But I'm a Cheerleader,85
tt0070510,Paper Moon (1973),1973,8.1,10787,102 mins.,Comedy|Crime|Drama,Paper Moon,102
tt0338216,Lucky You (2007),2007,5.9,10775,124 mins.,Drama|Romance|Sport,Lucky You,124
tt0974554,Elegy (2008),2008,6.8,10771,112 mins.,Drama|Romance,Elegy,112
tt1082601,Fighting (2009),2009,5.2,10758,105 mins.,Action|Drama|Sport,Fighting,105
tt0092494,*batteries not included (1987),1987,6.1,10750,106 mins.,Family|Fantasy|Sci-Fi|Comedy,*batteries not included,106
tt0986233,Hunger (2008),2008,7.6,10739,96 mins.,Biography|Drama|History,Hunger,96
tt0366174,Anacondas: The Hunt for the Blood Orchid (2004),2004,4.3,10723,97 mins.,Action|Adventure|Horror|Thriller,Anacondas: The Hunt for the Blood Orchid,97
tt0117737,Stealing Beauty (1996),1996,6.4,10715,118 mins.,Drama|Romance,Stealing Beauty,118
